"city","city_ascii","province_id","province_name","lat","lng","population","density","timezone","ranking","postal","id"
"Kitimat","Kitimat","BC","British Columbia","54.0000","-128.7000","8131","34.7","America/Vancouver","3","V8C","1124198272"
"Shelburne","Shelburne","ON","Ontario","44.0833","-80.2000","8126","907.1","America/Toronto","3","L9V","1124470888"
"Happy Valley","Happy Valley","NL","Newfoundland and Labrador","53.3396","-60.4467","8109.00","26.50","America/Goose_Bay","4","A0P","1124879731"
"Saint-Hippolyte","Saint-Hippolyte","QC","Quebec","45.9300","-74.0200","8083","67.0","America/Montreal","3","J8A","1124001758"
"Castlegar","Castlegar","BC","British Columbia","49.3256","-117.6661","8039","408.6","America/Vancouver","3","V1N","1124379972"
"Church Point","Church Point","NS","Nova Scotia","44.3333","-66.1167","8018","9.4","America/Halifax","3","B0W","1124316445"
"Drumheller","Drumheller","AB","Alberta","51.4636","-112.7194","7982","73.9","America/Edmonton","3","T0J","1124745292"
"Kirkland Lake","Kirkland Lake","ON","Ontario","48.1500","-80.0333","7981","30.4","America/Toronto","3","P0K P2N","1124683504"
"Argyle","Argyle","NS","Nova Scotia","43.8000","-65.8500","7899","5.2","America/Halifax","3","B0W","1124503052"
"Torbay","Torbay","NL","Newfoundland and Labrador","47.6500","-52.7333","7899","212.1","America/St_Johns","3","A1K","1124406642"
"La Pêche","La Peche","QC","Quebec","45.6833","-75.9833","7863","13.4","America/Montreal","3","J0X","1124001249"
"Banff","Banff","AB","Alberta","51.1781","-115.5719","7847","1646.0","America/Edmonton","3","T1L","1124351648"
"Innisfail","Innisfail","AB","Alberta","52.0333","-113.9500","7847","404.6","America/Edmonton","3","T4G","1124612670"
"Nicolet","Nicolet","QC","Quebec","46.2167","-72.6167","7828","81.5","America/Montreal","3","J3T","1124746363"
"Rockwood","Rockwood","MB","Manitoba","50.2856","-97.2869","7823","6.5","America/Winnipeg","3","R0C","1124000435"
"Drummond/North Elmsley","Drummond/North Elmsley","ON","Ontario","44.9667","-76.2000","7773","21.2","America/Toronto","3","K7A K7C K7H K0G","1124001787"
"Dryden","Dryden","ON","Ontario","49.7833","-92.8333","7749","117.1","America/Winnipeg","3","P8N","1124295097"
"Iqaluit","Iqaluit","NU","Nunavut","63.7598","-68.5107","7740.00","147.40","America/Iqaluit","4","X0A","1124379539"
"Fort Frances","Fort Frances","ON","Ontario","48.6167","-93.4000","7739","303.4","America/Winnipeg","3","P9A","1124939714"
"La Sarre","La Sarre","QC","Quebec","48.8000","-79.2000","7719","51.9","America/Montreal","3","J9Z","1124902252"
"Trail","Trail","BC","British Columbia","49.0950","-117.7100","7709","220.7","America/Vancouver","3","V1R","1124817036"
"Chandler","Chandler","QC","Quebec","48.3500","-64.6833","7703","18.4","America/Montreal","3","G0C","1124111932"
"Stone Mills","Stone Mills","ON","Ontario","44.4500","-76.9167","7702","10.9","America/Toronto","3","K0K","1124000075"
"Hanover","Hanover","ON","Ontario","44.1500","-81.0333","7688","763.8","America/Toronto","3","N4N","1124868817"
"South-West Oxford","South-West Oxford","ON","Ontario","42.9500","-80.8000","7664","20.7","America/Toronto","3","N4S N4G N5C N0L N0J","1124000210"
"Acton Vale","Acton Vale","QC","Quebec","45.6500","-72.5667","7664","84.2","America/Montreal","3","J0H","1124864792"
"Bromont","Bromont","QC","Quebec","45.3167","-72.6500","7649","66.9","America/Montreal","3","J2L","1124286457"
"Beckwith","Beckwith","ON","Ontario","45.0833","-76.0667","7644","31.8","America/Toronto","3","K7A K7C K0A","1124000163"
"Goderich","Goderich","ON","Ontario","43.7333","-81.7000","7628","882.8","America/Toronto","3","N7A","1124989247"
"Plympton-Wyoming","Plympton-Wyoming","ON","Ontario","43.0167","-82.0833","7576","23.8","America/Toronto","3","N0N","1124001273"
"Central Huron","Central Huron","ON","Ontario","43.6300","-81.5700","7576","16.9","America/Toronto","3","N0M N7A","1124001983"
"Rigaud","Rigaud","QC","Quebec","45.4833","-74.3000","7566","74.1","America/Montreal","3","J0P","1124176101"
"Louiseville","Louiseville","QC","Quebec","46.2500","-72.9500","7517","120.1","America/Montreal","3","J5V","1124866425"
"Chibougamau","Chibougamau","QC","Quebec","49.9167","-74.3667","7504","10.7","America/Montreal","3","G8P","1124650514"
"Aylmer","Aylmer","ON","Ontario","42.7667","-80.9833","7492","1197.6","America/Toronto","3","N5H","1124964102"
"Delson","Delson","QC","Quebec","45.3700","-73.5500","7462","982.6","America/Montreal","3","J5B","1124405717"
"Kimberley","Kimberley","BC","British Columbia","49.6697","-115.9775","7425","122.5","America/Edmonton","3","V1A","1124170837"
"Blandford-Blenheim","Blandford-Blenheim","ON","Ontario","43.2333","-80.6000","7399","19.4","America/Toronto","3","N0J","1124001001"
"Bayham","Bayham","ON","Ontario","42.7333","-80.7833","7396","30.2","America/Toronto","3","N5H N0J","1124000461"
"Augusta","Augusta","ON","Ontario","44.7511","-75.6003","7353","23.4","America/Toronto","3","K6V K0E K0G","1124000619"
"Puslinch","Puslinch","ON","Ontario","43.4500","-80.1667","7336","34.2","America/Toronto","3","N3C N0B N1H","1124129947"
"Beauport","Beauport","QC","Quebec","46.9667","-71.3000","7281","118.8","America/Montreal","3","G3B","1124715267"
"Saint-Rémi","Saint-Remi","QC","Quebec","45.2667","-73.6167","7265","92.2","America/Montreal","3","J0L","1124638080"
"St. Marys","St. Marys","ON","Ontario","43.2583","-81.1333","7265","583.5","America/Toronto","3","N4X","1124438866"
"Drayton Valley","Drayton Valley","AB","Alberta","53.2222","-114.9769","7235","235.5","America/Edmonton","3","T7A","1124814220"
"Ponoka","Ponoka","AB","Alberta","52.6833","-113.5667","7229","417.1","America/Edmonton","3","T4J","1124308190"
"Labrador City","Labrador City","NL","Newfoundland and Labrador","52.9500","-66.9167","7220","186.0","America/Goose_Bay","3","A2V","1124000773"
"Donnacona","Donnacona","QC","Quebec","46.6747","-71.7294","7200","357.6","America/Montreal","3","G3M","1124002794"
"Southgate","Southgate","ON","Ontario","44.1000","-80.5833","7190","11.4","America/Toronto","3","N0G N0C","1124000656"
"McNab/Braeside","McNab/Braeside","ON","Ontario","45.4500","-76.5000","7178","28.1","America/Toronto","3","K7S K7V K0A","1124001458"
"Macdonald","Macdonald","MB","Manitoba","49.6725","-97.4472","7162","6.2","America/Winnipeg","3","R4G R0G","1124000633"
"Hampstead","Hampstead","QC","Quebec","45.4833","-73.6333","7153","3996.5","America/Montreal","2","H3X","1124000763"
"Baie-Saint-Paul","Baie-Saint-Paul","QC","Quebec","47.4500","-70.5000","7146","13.1","America/Montreal","3","G3Z","1124415452"
"Merritt","Merritt","BC","British Columbia","50.1128","-120.7897","7139","273.9","America/Vancouver","3","V1K","1124550302"
"Bluewater","Bluewater","ON","Ontario","43.4500","-81.6000","7136","17.1","America/Toronto","3","N0M","1124000066"
"East Zorra-Tavistock","East Zorra-Tavistock","ON","Ontario","43.2333","-80.7833","7129","29.4","America/Toronto","3","N4S N0J N0B","1124000189"
"Brownsburg","Brownsburg","QC","Quebec","45.6703","-74.4467","7122.00","28.80","America/Montreal","4","J8G","1124023263"
"Stoneham-et-Tewkesbury","Stoneham-et-Tewkesbury","QC","Quebec","47.1667","-71.4333","7106","10.6","America/Montreal","3","G3C","1124000439"
"Asbestos","Asbestos","QC","Quebec","45.7667","-71.9333","7096","239.1","America/Montreal","3","J1T","1124583779"
"Huron-Kinloss","Huron-Kinloss","ON","Ontario","44.0500","-81.5333","7069","16.0","America/Toronto","3","N2Z N0G","1124000614"
"Coteau-du-Lac","Coteau-du-Lac","QC","Quebec","45.3000","-74.1800","7044","150.2","America/Montreal","3","J0P","1124000308"
"The Blue Mountains","The Blue Mountains","ON","Ontario","44.4833","-80.3833","7025","24.5","America/Toronto","3","L9Y N0H","1124000370"
"Whitewater Region","Whitewater Region","ON","Ontario","45.7167","-76.8333","7009","13.0","America/Toronto","3","K0J","1124001363"
"Edwardsburgh/Cardinal","Edwardsburgh/Cardinal","ON","Ontario","44.8333","-75.5000","6959","22.3","America/Toronto","3","K0E","1124001736"
"Sainte-Anne-des-Monts","Sainte-Anne-des-Monts","QC","Quebec","49.1333","-66.5000","6933","26.3","America/Montreal","3","G4V","1124183859"
"Old Chelsea","Old Chelsea","QC","Quebec","45.5000","-75.7833","6909","60.7","America/Montreal","3","J9B","1124835028"
"North Stormont","North Stormont","ON","Ontario","45.2167","-75.0000","6873","13.3","America/Toronto","3","K0A K0C","1124000261"
"Alnwick/Haldimand","Alnwick/Haldimand","ON","Ontario","44.0833","-78.0333","6869","17.25","America/Toronto","3","K9A K0K","1124000698"
"Peace River","Peace River","AB","Alberta","56.2339","-117.2897","6842","260.6","America/Edmonton","3","T8S","1124941936"
"Arran-Elderslie","Arran-Elderslie","ON","Ontario","44.4000","-81.2000","6803","14.8","America/Toronto","3","N0H N0G","1124001766"
"Saint-Zotique","Saint-Zotique","QC","Quebec","45.2500","-74.2500","6773","268.8","America/Montreal","3","J0P","1124170824"
"Val-Shefford","Val-Shefford","QC","Quebec","45.3500","-72.5667","6711","56.7","America/Montreal","3","J2M","1124787548"
"Douro-Dummer","Douro-Dummer","ON","Ontario","44.4500","-78.1000","6709","14.6","America/Toronto","3","K9J K9L K0L","1124001679"
"Plessisville","Plessisville","QC","Quebec","46.2167","-71.7833","6688","1546.0","America/Montreal","3","G6L","1124223899"
"Ritchot","Ritchot","MB","Manitoba","49.6647","-97.1167","6679","20.0","America/Winnipeg","3","R5A R0A R0G","1124001990"
"Otonabee-South Monaghan","Otonabee-South Monaghan","ON","Ontario","44.2333","-78.2333","6670","19.2","America/Toronto","3","K9J K0L","1124000517"
"Shediac","Shediac","NB","New Brunswick","46.2167","-64.5333","6664","123.5","America/Moncton","3","E4P","1124770042"
"Slave Lake","Slave Lake","AB","Alberta","55.2853","-114.7706","6651","460.5","America/Edmonton","3","T0G","1124106662"
"Port-Cartier","Port-Cartier","QC","Quebec","50.0333","-66.8667","6651","6.0","America/Montreal","3","G5B G0H","1124795368"
"Saint-Lambert-de-Lauzon","Saint-Lambert-de-Lauzon","QC","Quebec","46.5865","-71.2271","6647.00","62.20","America/Montreal","4","G0S","1124610423"
"Barrington","Barrington","NS","Nova Scotia","43.5646","-65.5639","6646","10.5","America/Halifax","3","B0W","1124548310"
"Rocky Mountain House","Rocky Mountain House","AB","Alberta","52.3753","-114.9217","6635","521.8","America/Edmonton","3","T4T","1124203206"
"Chatsworth","Chatsworth","ON","Ontario","44.3800","-80.8700","6630","11.1","America/Toronto","3","N0H","1124525225"
"Stephenville","Stephenville","NL","Newfoundland and Labrador","48.5500","-58.5667","6623","185.6","America/St_Johns","3","A2N","1124000201"
"Muskoka Falls","Muskoka Falls","ON","Ontario","45.1264","-79.5580","6588.00","8.30","America/Toronto","4","P0C P0B P1L P1P","1124955753"
"Devon","Devon","AB","Alberta","53.3633","-113.7322","6578","460.2","America/Edmonton","3","T9G","1124268366"
"Yarmouth","Yarmouth","NS","Nova Scotia","43.8361","-66.1175","6518","616.9","America/Halifax","3","B5A","1124983867"
"Boischatel","Boischatel","QC","Quebec","46.9000","-71.1500","6465","308.8","America/Montreal","3","G0A","1124332563"
"Parry Sound","Parry Sound","ON","Ontario","45.3333","-80.0333","6408","478.2","America/Toronto","3","P2A","1124245809"
"Pointe-Calumet","Pointe-Calumet","QC","Quebec","45.5000","-73.9700","6396","1382.4","America/Montreal","3","J0N","1124629762"
"Beaubassin East / Beaubassin-est","Beaubassin East / Beaubassin-est","NB","New Brunswick","46.1726","-64.3122","6376.00","21.90","America/Moncton","3","E4P E4N","1124000427"
"Wainfleet","Wainfleet","ON","Ontario","42.9250","-79.3750","6372","29.3","America/Toronto","3","L0S L0R L3B L3K","1124538125"
"Cramahe","Cramahe","ON","Ontario","44.0833","-77.8833","6355","31.4","America/Toronto","3","K0K","1124000879"
"Beauceville","Beauceville","QC","Quebec","46.2000","-70.7833","6354","37.9","America/Montreal","3","G5X","1124575286"
"North Middlesex","North Middlesex","ON","Ontario","43.1500","-81.6333","6352","10.6","America/Toronto","3","N0M","1124001914"
"Amqui","Amqui","QC","Quebec","48.4667","-67.4333","6322","52.3","America/Montreal","3","G5J","1124681333"
"Sainte-Catherine-de-la-Jacques-Cartier","Sainte-Catherine-de-la-Jacques-Cartier","QC","Quebec","46.8500","-71.6167","6319","52.1","America/Montreal","3","G3N","1124001417"
"Clarenville","Clarenville","NL","Newfoundland and Labrador","48.1566","-53.9650","6291","44.7","America/St_Johns","3","A5A","1124924217"
"Mont-Joli","Mont-Joli","QC","Quebec","48.5800","-68.1800","6281","272.6","America/Montreal","3","G5H","1124642037"
"Dysart et al","Dysart et al","ON","Ontario","45.2042","-78.4047","6280.00","4.20","America/Toronto","4","K0L K0M","1124000824"
"Wainwright","Wainwright","AB","Alberta","52.8333","-110.8667","6270","688.7","America/Edmonton","3","T9W","1124385336"
"Contrecoeur","Contrecoeur","QC","Quebec","45.8500","-73.2333","6252","102.2","America/Montreal","3","J0L","1124384220"
"Beresford","Beresford","NB","New Brunswick","47.7181","-65.8794","6248.00","13.70","America/Moncton","4","E8J E8K","1124000299"
"Saint-Joseph-du-Lac","Saint-Joseph-du-Lac","QC","Quebec","45.5333","-74.0000","6195","149.7","America/Montreal","3","J0N","1124001195"
"Hope","Hope","BC","British Columbia","49.3858","-121.4419","6181","151.0","America/Vancouver","3","V0X","1124662863"
"Gimli","Gimli","MB","Manitoba","50.6619","-97.0297","6181","19.5","America/Winnipeg","3","R0C","1124472413"
"Douglas","Douglas","NB","New Brunswick","46.2819","-66.9420","6154.00","4.30","America/Moncton","4","E6L E6B E3G","1124000768"
"Saint-Apollinaire","Saint-Apollinaire","QC","Quebec","46.6167","-71.5167","6110","63.0","America/Montreal","3","G0S","1124951601"
"Hindon Hill","Hindon Hill","ON","Ontario","44.9333","-78.7333","6088","6.9","America/Toronto","3","K0M","1124076260"
"Les Cèdres","Les Cedres","QC","Quebec","45.3000","-74.0500","6079","78.1","America/Montreal","3","J7T","1124051098"
"La Broquerie","La Broquerie","MB","Manitoba","49.3994","-96.5103","6076","10.5","America/Winnipeg","3","R0A","1124000582"
"Kent","Kent","BC","British Columbia","49.2833","-121.7500","6067","35.9","America/Vancouver","3","V0M","1124001999"
"Tweed","Tweed","ON","Ontario","44.6000","-77.3333","6044","6.3","America/Toronto","3","K0K","1124220211"
"Saint-Félix-de-Valois","Saint-Felix-de-Valois","QC","Quebec","46.1700","-73.4300","6029","68.6","America/Montreal","3","J0K","1124578689"
"Bay Roberts","Bay Roberts","NL","Newfoundland and Labrador","47.5847","-53.2783","6012","249.9","America/St_Johns","3","A0A","1124372298"
"Melfort","Melfort","SK","Saskatchewan","52.8564","-104.6100","5992","405.4","America/Regina","3","S0E","1124817334"
"Bonnyville","Bonnyville","AB","Alberta","54.2667","-110.7500","5975","421.4","America/Edmonton","3","T9N","1124166469"
"Stettler","Stettler","AB","Alberta","52.3236","-112.7192","5952","453.0","America/Edmonton","3","T0C","1124010388"
"Saint-Calixte","Saint-Calixte","QC","Quebec","45.9500","-73.8500","5934","41.4","America/Montreal","3","J0K","1124001462"
"Lac-Mégantic","Lac-Megantic","QC","Quebec","45.5833","-70.8833","5932","272.5","America/Montreal","3","G6B","1124329615"
"Perth","Perth","ON","Ontario","44.9000","-76.2500","5930","484.1","America/Toronto","3","K7H","1124732094"
"Oliver Paipoonge","Oliver Paipoonge","ON","Ontario","48.3900","-89.5200","5922","16.9","America/Toronto","3","P0T P7G P7J P7K","1124000729"
"Humboldt","Humboldt","SK","Saskatchewan","52.2019","-105.1231","5869","1783.4","America/Regina","3","S0K","1124147660"
"Charlemagne","Charlemagne","QC","Quebec","45.7167","-73.4833","5853","2704.0","America/Montreal","2","J5Z","1124185024"
"Pontiac","Pontiac","QC","Quebec","45.5833","-76.1333","5850","13.1","America/Montreal","3","J0X","1124000248"
"St. Paul","St. Paul","AB","Alberta","53.9928","-111.2972","5827","674.2","America/Edmonton","3","T0A","1124528022"
"Petrolia","Petrolia","ON","Ontario","42.8833","-82.1417","5742","452.8","America/Toronto","3","N0N","1124479624"
"Southwest Middlesex","Southwest Middlesex","ON","Ontario","42.7500","-81.7000","5723","13.4","America/Toronto","3","N0L","1124000520"
"Front of Yonge","Front of Yonge","ON","Ontario","44.5333","-75.8667","5710","20.3","America/Toronto","3","K0E","1124001901"
"Vegreville","Vegreville","AB","Alberta","53.4928","-112.0522","5708","405.4","America/Edmonton","3","T9C","1124534321"
"Sainte-Brigitte-de-Laval","Sainte-Brigitte-de-Laval","QC","Quebec","47.0000","-71.2000","5696","52.4","America/Montreal","3","G0A","1124647754"
"Princeville","Princeville","QC","Quebec","46.1667","-71.8833","5693","29.3","America/Montreal","4","G6L","1124715340"
"Verchères","Vercheres","QC","Quebec","45.7833","-73.3500","5692","77.7","America/Montreal","3","J0L","1124549666"
"The Pas","The Pas","MB","Manitoba","53.8250","-101.2533","5689","115.3","America/Winnipeg","3","R9A R0B","1124755168"
"Saint-Césaire","Saint-Cesaire","QC","Quebec","45.4167","-73.0000","5686","68.1","America/Montreal","3","J0L","1124948389"
"La Ronge","La Ronge","SK","Saskatchewan","55.1000","-105.3000","5671","163.9","America/Regina","3","S0J","1124763455"
"Tay Valley","Tay Valley","ON","Ontario","44.8667","-76.3833","5665","10.3","America/Toronto","3","K7H K0G K0H","1124000734"
"South Bruce","South Bruce","ON","Ontario","44.0333","-81.2000","5639","11.6","America/Toronto","3","N0G","1124001457"
"McMasterville","McMasterville","QC","Quebec","45.5500","-73.2333","5615","1810.3","America/Montreal","3","J3G","1124000115"
"Redcliff","Redcliff","AB","Alberta","50.0792","-110.7783","5600","344.6","America/Edmonton","3","T0J","1124603057"
"Crowsnest Pass","Crowsnest Pass","AB","Alberta","49.5955","-114.5136","5589.00","15.00","America/Edmonton","4","T0K","1124000595"
"Saint-Philippe","Saint-Philippe","QC","Quebec","45.3500","-73.4700","5495","88.5","America/Montreal","3","J0L","1124461923"
"Richelieu","Richelieu","QC","Quebec","45.4500","-73.2500","5467","176.2","America/Montreal","3","J3L","1124000387"
"Notre-Dame-du-Mont-Carmel","Notre-Dame-du-Mont-Carmel","QC","Quebec","46.4833","-72.6500","5467","42.6","America/Montreal","3","G0X","1124893320"
"L'Ange-Gardien","L'Ange-Gardien","QC","Quebec","45.5833","-75.4500","5464","25.0","America/Montreal","3","J8L","1124001197"
"Sainte-Martine","Sainte-Martine","QC","Quebec","45.2500","-73.8000","5461","86.4","America/Montreal","3","J0S","1124000017"
"Saint-Pie","Saint-Pie","QC","Quebec","45.5000","-72.9000","5438","49.9","America/Montreal","3","J0H","1124508787"
"Peachland","Peachland","BC","British Columbia","49.7736","-119.7369","5428","340.1","America/Vancouver","3","V0H","1124440160"
"Ashfield-Colborne-Wawanosh","Ashfield-Colborne-Wawanosh","ON","Ontario","43.8667","-81.6000","5422","9.2","America/Toronto","3","N0M N0G N7A","1124000025"
"Trent Lakes","Trent Lakes","ON","Ontario","44.6667","-78.4333","5397","6.3","America/Toronto","3","K0L K0M","1124001268"
"Northern Rockies","Northern Rockies","BC","British Columbia","59.0000","-123.7500","5393","0.063","America/Fort_Nelson","3","V0C","1124001362"
"Cookshire","Cookshire","QC","Quebec","45.3729","-71.6720","5393.00","18.20","America/Montreal","4","J0B","1124895156"
"West St. Paul","West St. Paul","MB","Manitoba","50.0119","-97.1150","5368","61.1","America/Winnipeg","3","R4A R2V","1124001136"
"Windsor","Windsor","QC","Quebec","45.5667","-72.0000","5367","375.5","America/Montreal","3","J1S","1124798166"
"L’Epiphanie","L'Epiphanie","QC","Quebec","45.8500","-73.4833","5353","2367.9","America/Montreal","2","J5X","1124599436"
"Creston","Creston","BC","British Columbia","49.0900","-116.5100","5351","626.8","America/Creston","3","V0B","1124204302"
"Smithers","Smithers","BC","British Columbia","54.7819","-127.1681","5351","514.9","America/Vancouver","3","V0J","1124191574"
"Cornwall","Cornwall","PE","Prince Edward Island","46.2407","-63.2009","5348","189.7","America/Halifax","3","C0A","1124001245"
"Meadow Lake","Meadow Lake","SK","Saskatchewan","54.1242","-108.4358","5344","433.6","America/Regina","3","S9X","1124434578"
"Lanark Highlands","Lanark Highlands","ON","Ontario","45.0880","-76.5170","5338","5.1","America/Toronto","3","K0A K0G","1124000887"
"Sackville","Sackville","NB","New Brunswick","45.9000","-64.3667","5331","71.9","America/Moncton","3","E4L","1124877244"
"Grand Falls","Grand Falls","NB","New Brunswick","47.0344","-67.7394","5326","294.4","America/Moncton","3","E3Z","1124904843"
"Cochrane","Cochrane","ON","Ontario","49.0667","-81.0167","5321","9.9","America/Toronto","3","P0L","1124296729"
"Marystown","Marystown","NL","Newfoundland and Labrador","47.1667","-55.1667","5316","85.8","America/St_Johns","3","A0E","1124408131"
"Sioux Lookout","Sioux Lookout","ON","Ontario","50.1000","-91.9167","5272","13.9","America/Winnipeg","3","P0V P8T","1124804545"
"Didsbury","Didsbury","AB","Alberta","51.6658","-114.1311","5268","321.7","America/Edmonton","3","T0M","1124574154"
"Saint-Honoré","Saint-Honore","QC","Quebec","48.5333","-71.0833","5257","27.8","America/Montreal","4","G0V","1124504668"
"Fernie","Fernie","BC","British Columbia","49.5042","-115.0628","5249","388.8","America/Edmonton","3","V0B","1124927114"
"Deer Lake","Deer Lake","NL","Newfoundland and Labrador","49.1744","-57.4269","5249","71.7","America/St_Johns","3","A8A","1124841556"
"Woodstock","Woodstock","NB","New Brunswick","46.1522","-67.5983","5228","356.7","America/Moncton","3","E7M","1124035280"
"Val-David","Val-David","QC","Quebec","46.0300","-74.2200","5209","103.9","America/Montreal","3","J0T","1124707666"
"Flin Flon","Flin Flon","SK","Saskatchewan","54.7667","-101.8778","5185","448.9","America/Winnipeg","3","S0P","1124500458"
"Hudson","Hudson","QC","Quebec","45.4500","-74.1500","5165","234.5","America/Montreal","3","J0P","1124590540"
"Gananoque","Gananoque","ON","Ontario","44.3300","-76.1700","5159","733.6","America/Toronto","3","K7G","1124349596"
"Brokenhead","Brokenhead","MB","Manitoba","50.1428","-96.5319","5122.00","6.80","America/Winnipeg","3","R0E","1124000321"
"Saint-Paul","Saint-Paul","QC","Quebec","45.9833","-73.4500","5122","103.7","America/Montreal","3","J0K","1124001817"
"Burton","Burton","NB","New Brunswick","45.8009","-66.4066","5119.00","19.80","America/Moncton","4","E2V","1124000544"
"Spallumcheen","Spallumcheen","BC","British Columbia","50.4462","-119.2121","5106.00","20.00","America/Vancouver","4","V0E","1124001340"
"Westlock","Westlock","AB","Alberta","54.1522","-113.8511","5101","381.4","America/Edmonton","3","T7P","1124037311"
"Témiscouata-sur-le-Lac","Temiscouata-sur-le-Lac","QC","Quebec","47.6800","-68.8800","5096","23.3","America/Montreal","3","G0L","1124001776"
"Shannon","Shannon","QC","Quebec","46.8833","-71.5167","5086","79.8","America/Montreal","3","G0A","1124440867"
"Osoyoos","Osoyoos","BC","British Columbia","49.0325","-119.4661","5085","598.2","America/Vancouver","3","V0H","1124713973"
"Montréal-Ouest","Montreal-Ouest","QC","Quebec","45.4536","-73.6472","5085","3614.6","America/Montreal","2","H4X","1124001742"
"Hearst","Hearst","ON","Ontario","49.6869","-83.6544","5070","51.5","America/Toronto","3","P0L","1124376843"
"Saint-Henri","Saint-Henri","QC","Quebec","46.7000","-71.0667","5023","41.1","America/Montreal","4","G0R","1124057702"
"Ste. Anne","Ste. Anne","MB","Manitoba","49.6186","-96.5708","5003.00","10.50","America/Winnipeg","4","R5H R5G R0A R0E","1124000501"
"Antigonish","Antigonish","NS","Nova Scotia","45.6167","-61.9833","5002","871.7","America/Halifax","3","B2G","1124839247"
"Espanola","Espanola","ON","Ontario","46.2500","-81.7667","4996","60.3","America/Toronto","3","P5E","1124133485"
"West Elgin","West Elgin","ON","Ontario","42.5833","-81.6667","4995","15.5","America/Toronto","3","N0L","1124000948"
"Flin Flon (Part)","Flin Flon (Part)","MB","Manitoba","54.7712","-101.8419","4982.00","359.20","America/Winnipeg","3","R8A","1124000122"
"Grand Bay-Westfield","Grand Bay-Westfield","NB","New Brunswick","45.3608","-66.2415","4964","83.0","America/Moncton","3","E5K","1124001504"
"Sainte-Anne-de-Bellevue","Sainte-Anne-de-Bellevue","QC","Quebec","45.4039","-73.9525","4958","473.0","America/Montreal","3","H9X","1124418135"
"North Huron","North Huron","ON","Ontario","43.8300","-81.4200","4932","27.6","America/Toronto","3","N0G","1124001142"
"Oliver","Oliver","BC","British Columbia","49.1844","-119.5500","4928.00","896.00","America/Vancouver","3","V0H","1124145879"
"Saint-Roch-de-l'Achigan","Saint-Roch-de-l'Achigan","QC","Quebec","45.8500","-73.6000","4892","60.6","America/Montreal","3","J0K","1124000365"
"Stirling-Rawdon","Stirling-Rawdon","ON","Ontario","44.3667","-77.5917","4882","17.3","America/Toronto","3","K0K","1124001948"
"Chisasibi","Chisasibi","QC","Quebec","53.6645","-78.7938","4872.00","5.90","America/Montreal","4","J0M","1124000072"
"Carbonear","Carbonear","NL","Newfoundland and Labrador","47.7375","-53.2294","4838","411.5","America/St_Johns","3","A1Y","1124121214"
"Saint Marys","Saint Marys","NB","New Brunswick","46.1748","-66.4897","4837.00","6.40","America/Moncton","4","E6C E3A","1124000221"
"Chertsey","Chertsey","QC","Quebec","46.1700","-73.9200","4836","16.8","America/Montreal","3","J0K","1124001234"
"Armstrong","Armstrong","BC","British Columbia","50.4483","-119.1961","4830","927.7","America/Vancouver","3","V0E","1124201947"
"Stonewall","Stonewall","MB","Manitoba","50.1344","-97.3261","4809","802.8","America/Winnipeg","3","R0C","1124829875"
"Shippagan","Shippagan","NB","New Brunswick","47.8557","-64.6012","4800.00","23.10","America/Moncton","4","E8T E8S","1124001772"
"Lanoraie","Lanoraie","QC","Quebec","45.9667","-73.2167","4787","46.4","America/Montreal","3","J0K","1124453107"
"Memramcook","Memramcook","NB","New Brunswick","46.0000","-64.5500","4778","25.5","America/Moncton","3","E4K","1124833147"
"Centre Hastings","Centre Hastings","ON","Ontario","44.4167","-77.4417","4774","20.4","America/Toronto","3","K0K","1124000705"
"Warwick","Warwick","QC","Quebec","45.9500","-71.9833","4766","43.3","America/Montreal","3","J0A","1124510688"
"East Ferris","East Ferris","ON","Ontario","46.2667","-79.3000","4750","30.6","America/Toronto","3","P0H","1124000523"
"Hanwell","Hanwell","NB","New Brunswick","45.8681","-66.7947","4750.00","31.40","America/Moncton","3","E3E E3B","1124001405"
"Saint-Joseph-de-Beauce","Saint-Joseph-de-Beauce","QC","Quebec","46.3000","-70.8833","4722","42.6","America/Montreal","3","G0S","1124865207"
"Metchosin","Metchosin","BC","British Columbia","48.3819","-123.5378","4708","66.2","America/Vancouver","3","V9C","1124625175"
"Lucan Biddulph","Lucan Biddulph","ON","Ontario","43.2000","-81.3833","4700","27.8","America/Toronto","3","N0M","1124000469"
"Rivière-Rouge","Riviere-Rouge","QC","Quebec","46.4167","-74.8667","4645","10.2","America/Montreal","3","J0T","1124001720"
"Greenstone","Greenstone","ON","Ontario","50.0000","-86.7333","4636","1.7","America/Toronto","3","P0T","1124000068"
"Saint-Mathias-sur-Richelieu","Saint-Mathias-sur-Richelieu","QC","Quebec","45.4667","-73.2667","4618","97.8","America/Montreal","3","J3L","1124000576"
"Neepawa","Neepawa","MB","Manitoba","50.2289","-99.4656","4609","206.5","America/Winnipeg","3","R0J","1124375380"
"Gibsons","Gibsons","BC","British Columbia","49.4028","-123.5036","4605","1066.0","America/Vancouver","3","V0N","1124342069"
"Kindersley","Kindersley","SK","Saskatchewan","51.4678","-109.1567","4597","347.5","America/Regina","3","S0L","1124343190"
"Jasper","Jasper","AB","Alberta","52.9013","-118.1312","4590.00","5.00","America/Edmonton","4","T0E","1124533812"
"Barrhead","Barrhead","AB","Alberta","54.1167","-114.4000","4579","560.4","America/Edmonton","3","T7N","1124181687"
